Date,Open,High,Low,Close,Adj Close,Volume
2012-02-22,18368.34375,23940.0,24000.0,23440.0,23640.0,11779250
2012-02-23,17800.568359375,23200.0,23580.0,23020.0,23460.0,23259200
2012-02-24,18107.474609375,23600.0,23720.0,23060.0,23060.0,14240300
2012-02-27,17969.37109375,23420.0,23600.0,23180.0,23480.0,8273300
2012-02-28,18184.201171875,23700.0,24000.0,23620.0,23920.0,16648100
2012-02-29,18506.458984375,24120.0,24180.0,23820.0,23820.0,17278300
2012-03-02,18138.166015625,23640.0,24340.0,23580.0,24300.0,18023700
2012-03-05,18015.400390625,23480.0,23820.0,23320.0,23800.0,11175250
2012-03-06,18107.474609375,23600.0,23860.0,23340.0,23580.0,10572850
2012-03-07,17984.705078125,23440.0,23660.0,23300.0,23500.0,11521550
2012-03-08,18107.474609375,23600.0,23720.0,23300.0,23600.0,20270400
2012-03-09,18874.740234375,24600.0,24620.0,23760.0,23820.0,18228800
2012-03-12,18567.83203125,24200.0,24520.0,24200.0,24480.0,11826950
2012-03-13,18736.640625,24420.0,24580.0,24000.0,24000.0,11985550
2012-03-14,19181.650390625,25000.0,25100.0,24600.0,24600.0,18279650
2012-03-15,19181.650390625,25000.0,25200.0,24840.0,25020.0,14038800
2012-03-16,18997.50390625,24760.0,25340.0,24760.0,25200.0,18070200
2012-03-19,19335.103515625,25200.0,25360.0,24680.0,24700.0,11881850
2012-03-20,19442.51953125,25340.0,25540.0,25200.0,25340.0,11935500
2012-03-21,19058.890625,24840.0,25200.0,24840.0,25200.0,12913550
2012-03-22,19304.41015625,25160.0,25260.0,24700.0,24700.0,12675450
2012-03-23,19350.44921875,25220.0,25480.0,24860.0,24860.0,10818600
2012-03-26,19565.28515625,25500.0,25500.0,25220.0,25360.0,9237800
2012-03-27,20117.712890625,26220.0,26220.0,25520.0,25700.0,14186350
2012-03-28,19979.607421875,26040.0,26160.0,25900.0,26000.0,9914550
2012-03-29,19642.009765625,25600.0,25980.0,25600.0,25980.0,11670000
2012-03-30,19565.28515625,25500.0,25600.0,25140.0,25400.0,15281700
2012-04-02,19933.5703125,25980.0,25980.0,25220.0,25500.0,12582950
2012-04-03,20485.998046875,26700.0,26780.0,26040.0,26400.0,16507900
2012-04-04,20255.8203125,26400.0,27020.0,26300.0,26620.0,14599350
2012-04-05,20409.267578125,26600.0,26700.0,25940.0,26040.0,12921350
2012-04-06,20439.962890625,26640.0,26680.0,26260.0,26540.0,10289650
2012-04-09,20209.783203125,26340.0,26600.0,26120.0,26400.0,8572600
2012-04-10,20117.712890625,26220.0,26400.0,26140.0,26280.0,11176100
2012-04-12,19534.587890625,25460.0,25980.0,25360.0,25660.0,25240650
2012-04-13,19457.86328125,25360.0,25540.0,25200.0,25300.0,35409200
2012-04-16,19319.759765625,25180.0,25520.0,25000.0,25460.0,15222400
2012-04-17,19166.3046875,24980.0,25280.0,24820.0,25020.0,14552300
2012-04-18,19841.494140625,25860.0,26040.0,25380.0,25540.0,17253750
2012-04-19,20056.33203125,26140.0,26140.0,25780.0,25840.0,13156400
2012-04-20,19672.697265625,25640.0,25940.0,25560.0,25880.0,9900550
2012-04-23,19626.662109375,25580.0,25600.0,25240.0,25380.0,8388400
2012-04-24,19688.04296875,25660.0,25720.0,25240.0,25300.0,13238350
